Luchthavens (herkomst/bestemming),Perioden,Totaal passagiers,Passagiers aangekomen ,Passagiers vertrokken
"Denemarken, Kopenhagen/Kastrup",2012,822723,413495,409228
"Denemarken, Kopenhagen/Kastrup",2013,805925,403184,402741
"Denemarken, Kopenhagen/Kastrup",2014,888084,446454,441630
"Denemarken, Kopenhagen/Kastrup",2015,913056,460113,452943
"Denemarken, Kopenhagen/Kastrup",2016,974884,490563,484321
"Denemarken, Kopenhagen/Kastrup",2017,1033327,516729,516598
"Denemarken, Kopenhagen/Kastrup",2018,1090783,545615,545168
"Denemarken, Kopenhagen/Kastrup",2019,1110441,552511,557930
"Denemarken, Kopenhagen/Kastrup",2020,353378,173116,180262
"Denemarken, Kopenhagen/Kastrup",2021,398847,201486,197361
"Denemarken, Kopenhagen/Kastrup",2022,972981,491770,481211
"Frankrijk, Parijs/Charles de Gaulle",2012,1124252,577583,546669
"Frankrijk, Parijs/Charles de Gaulle",2013,1126680,579475,547205
"Frankrijk, Parijs/Charles de Gaulle",2014,1159106,594538,564568
"Frankrijk, Parijs/Charles de Gaulle",2015,1149168,594796,554372
"Frankrijk, Parijs/Charles de Gaulle",2016,1182258,602465,579793
"Frankrijk, Parijs/Charles de Gaulle",2017,1263470,643134,620336
"Frankrijk, Parijs/Charles de Gaulle",2018,1238016,625222,612794
"Frankrijk, Parijs/Charles de Gaulle",2019,1239789,624907,614882
"Frankrijk, Parijs/Charles de Gaulle",2020,494116,243865,250251
"Frankrijk, Parijs/Charles de Gaulle",2021,574320,291666,282654
"Frankrijk, Parijs/Charles de Gaulle",2022,909955,458925,451030
"Ierland, Dublin",2012,483968,243722,240246
"Ierland, Dublin",2013,497491,249012,248479
"Ierland, Dublin",2014,513741,256956,256785
"Ierland, Dublin",2015,608122,303971,304151
"Ierland, Dublin",2016,936784,466605,470179
"Ierland, Dublin",2017,1080715,536440,544275
"Ierland, Dublin",2018,1194651,592854,601797
"Ierland, Dublin",2019,1212587,605784,606803
"Ierland, Dublin",2020,365265,183130,182135
"Ierland, Dublin",2021,396492,193608,202884
"Ierland, Dublin",2022,1003177,497067,506110
"Spanje, Barcelona",2012,1250144,629250,620894
"Spanje, Barcelona",2013,1186682,597467,589215
"Spanje, Barcelona",2014,1217916,610227,607689
"Spanje, Barcelona",2015,1202353,605160,597193
"Spanje, Barcelona",2016,1305331,652421,652910
"Spanje, Barcelona",2017,1361334,683379,677955
"Spanje, Barcelona",2018,1418714,711055,707659
"Spanje, Barcelona",2019,1382607,692195,690412
"Spanje, Barcelona",2020,377835,190502,187333
"Spanje, Barcelona",2021,608458,296619,311839
"Spanje, Barcelona",2022,1204862,608514,596348
"Spanje, Madrid/Barajas",2012,1030188,518471,511717
"Spanje, Madrid/Barajas",2013,748426,378501,369925
"Spanje, Madrid/Barajas",2014,840215,418687,421528
"Spanje, Madrid/Barajas",2015,925200,456603,468597
"Spanje, Madrid/Barajas",2016,992114,488891,503223
"Spanje, Madrid/Barajas",2017,1021861,504974,516887
"Spanje, Madrid/Barajas",2018,1035686,512826,522860
"Spanje, Madrid/Barajas",2019,1139999,564363,575636
"Spanje, Madrid/Barajas",2020,359584,180425,179159
"Spanje, Madrid/Barajas",2021,458560,224378,234182
"Spanje, Madrid/Barajas",2022,972005,488731,483274
"Ver. Koninkrijk, Londen/Heathrow",2012,1429378,714191,715187
"Ver. Koninkrijk, Londen/Heathrow",2013,1443670,721232,722438
"Ver. Koninkrijk, Londen/Heathrow",2014,1486533,735904,750629
"Ver. Koninkrijk, Londen/Heathrow",2015,1586999,780359,806640
"Ver. Koninkrijk, Londen/Heathrow",2016,1616621,799323,817298
"Ver. Koninkrijk, Londen/Heathrow",2017,1688997,844759,844238
"Ver. Koninkrijk, Londen/Heathrow",2018,1745757,871015,874742
"Ver. Koninkrijk, Londen/Heathrow",2019,1747788,867339,880449
"Ver. Koninkrijk, Londen/Heathrow",2020,525448,259984,265464
"Ver. Koninkrijk, Londen/Heathrow",2021,350153,176700,173453
"Ver. Koninkrijk, Londen/Heathrow",2022,1140162,567762,572400
,,,,
,,,,
,,,,
,,,,
Bron: CBS,,,,
